date,wind,hydroeletric,nuclear,solar,thermal
2000-01-01,,687.1026,11.5319,,47.72090000000001
2000-01-02,,703.2201,11.4996,,50.08560000000001
2000-01-03,,847.5116999999999,11.5196,,51.934099999999994
2000-01-04,,885.3230000000002,13.6956,,52.3345
2000-01-05,,909.1884,13.7982,,48.446799999999996
2000-01-06,,926.5992000000002,13.7792,,49.5537
2000-01-07,,923.1581000000002,13.7778,,51.856700000000004
2000-01-08,,837.9187007099998,13.2447,,47.3678
2000-01-09,,755.3845005500001,13.791,,48.0559
2000-01-10,,925.3450998499999,13.7871,,47.39699992
2000-01-11,,961.01249896,13.7844,,44.33750016
2000-01-12,,968.9495992000001,13.7885,,43.9765
2000-01-13,,972.1922997599999,13.8036,,47.03750015999999
2000-01-14,,981.2256998399996,13.7329,,46.8992
2000-01-15,,883.9725992800002,12.6401,,46.0015
2000-01-16,,788.0549997499999,12.9726,,45.75230001
2000-01-17,,959.72809984,13.7834,,47.289499840000005
2000-01-18,,990.2273497699998,13.7822,,42.24300008000001
2000-01-19,,981.7147997599999,13.7855,,48.70039984
2000-01-20,,940.8680009499999,13.8077,,44.495900160000005
2000-01-21,,954.3726000900001,13.7907,,46.835799279999996
2000-01-22,,868.12900152,13.8125,,47.18559984000001
2000-01-23,,773.7065997699999,13.821,,47.67920008
2000-01-24,,929.2063992000003,13.7704,,54.318
2000-01-25,,952.21439992,13.7797,,45.70790016
2000-01-26,,969.92669976,13.7817,,47.6365008
2000-01-27,,949.6566990500002,13.7904,,37.38070024
2000-01-28,,933.6345990399997,13.8238,,39.62590016
2000-01-29,,843.00860143,13.7986,,41.65809999999999
2000-01-30,,760.3523991299999,13.8092,,40.77009991
2000-01-31,,941.7544,13.7945,,44.5163
2000-02-01,,955.5026000000001,13.6876,,46.075
2000-02-02,,956.9906991200002,13.8015,,49.178700000000006
2000-02-03,,971.1280000000003,13.8207,,46.002100000000006
2000-02-04,,978.6201990400001,13.8101,,47.75649975
2000-02-05,,877.3904998400003,13.7835,,48.38530015999999
2000-02-06,,774.1812003200002,13.7981,,45.20550001000001
2000-02-07,,933.0328990400001,13.8207,,47.6907
2000-02-08,,959.2648004799998,13.7947,,48.575399759999996
2000-02-09,,967.2106006300002,13.8237,,49.13380008
2000-02-10,,971.7875007299999,13.8003,,50.40419991
2000-02-11,,977.78659904,13.7813,,51.4445
2000-02-12,,893.7864007100001,13.8046,,40.9358
2000-02-13,,794.29649904,13.7594,,39.68190015
2000-02-14,,954.7079007199999,13.7851,,40.5996996
2000-02-15,,985.9706000800003,13.7881,,41.45760008
2000-02-16,,982.7552999199997,13.7759,,40.55290000000001
2000-02-17,,953.01319919,13.7724,,44.757200000000005
2000-02-18,,925.3019989500001,13.8342,,49.83430008
2000-02-19,,840.9077988700003,13.8276,,47.33980016
2000-02-20,,744.8975006500001,13.8266,,49.415600000000005
2000-02-21,,919.05220065,13.8262,,50.50529999999999
2000-02-22,,952.2007998400001,13.8153,,51.44499992
2000-02-23,,967.7129006299999,13.763,,52.838500159999995
2000-02-24,,981.6792005499999,13.776,,50.69740032
2000-02-25,,984.7814007100001,13.7913,,51.98760008
2000-02-26,,889.60789903,13.7968,,53.28630008
2000-02-27,,795.57439967,13.809,,48.00860016
2000-02-28,,969.0021996799999,13.786,,51.0203
2000-02-29,,987.2137000000002,13.7834,,51.7885
2000-03-01,,984.35359983,13.7817,,46.684400079999996
2000-03-02,,996.1671991200002,13.7705,,37.71769993
2000-03-03,,983.1986999999996,13.7823,,41.87160008
2000-03-04,,874.4320998400001,13.7946,,37.61489999
2000-03-05,,778.9044990300001,13.8209,,37.861000000000004
2000-03-06,,833.5457005599999,13.7805,,45.17329984
2000-03-07,,817.0691997500002,13.79,,45.72399992
2000-03-08,,886.8567996700001,13.8,,50.41519984000001
2000-03-09,,931.7338992,13.8,,51.795600009999994
2000-03-10,,943.8674997600001,13.7981,,51.3387
2000-03-11,,866.33380063,13.7919,,48.48240008
2000-03-12,,786.6011006299998,13.7717,,27.52720001
2000-03-13,,931.35239991,13.8127,,42.03990008
2000-03-14,,966.0896006300001,13.7792,,41.933099920000004
2000-03-15,,976.6303006299996,13.7847,,43.98809976
2000-03-16,,991.6836006400001,13.7889,,44.8523
2000-03-17,,993.8131996700002,13.771,,46.07819999
2000-03-18,,914.08579903,2.3,,41.75880001
2000-03-19,,785.8735933200002,0.564,,34.8472801
2000-03-20,,947.38649991,11.2615,,44.159600080000004
2000-03-21,,969.7333992700001,13.7872,,44.533599759999994
2000-03-22,,986.2016998299998,13.8048,,39.722099920000005
2000-03-23,,991.0527006300002,13.7884,,36.64809993
2000-03-24,,996.6840006400002,13.7704,,40.67190024
2000-03-25,,907.0647008100002,13.7744,,37.183299919999996
2000-03-26,,816.5228989500001,13.7863,,25.6265
2000-03-27,,978.0962006300001,13.7692,,39.878099999999996
2000-03-28,,995.7704990300002,13.8024,,39.17269984000001
2000-03-29,,986.1807999100001,13.7664,,37.193200080000004
2000-03-30,,979.2998997600002,13.7848,,38.5738
2000-03-31,,983.97279983,13.8086,,39.83979984
2000-04-01,,906.8561000000001,13.7945,,25.079900000000002
2000-04-02,,797.3613999999999,13.8015,,25.5963
2000-04-03,,946.9577,13.7209,,31.878800000000002
2000-04-04,,962.7829999999999,13.8354,,33.3738
2000-04-05,,976.8790000000001,13.8118,,31.684300000000004
2000-04-06,,983.5126000000001,13.8042,,33.9813
2000-04-07,,993.7650000000003,13.8206,,33.6768
2000-04-08,,911.0733000000001,13.7966,,33.9865
